child_id;company_id;created_at;end_date;id;instructor;notes;schedule_periods;season;sport_name;start_date;updated_at
6a4a4a9f-2620-4070-b810-2930c4308ed5;0d0b7f4f-327e-4497-83ff-3aa501ffc295;2026-04-24 13:27:44.111811+00;;0eb0572d-1754-46cb-8f02-dfa800421c71;;;;2026;Hockey;;2026-04-24 13:27:44.111811+00
7fca98f0-a0de-4dbf-a631-d561b0ee8a53;0d0b7f4f-327e-4497-83ff-3aa501ffc295;2026-04-24 13:27:27.024678+00;;f06428a8-55ee-44a0-8947-750927b5e89e;;;;2026;Hockey;;2026-04-24 13:27:27.024678+00
a49f6215-96e5-448b-a281-c6a23c5d8c5e;0d0b7f4f-327e-4497-83ff-3aa501ffc295;2026-04-24 12:29:13.888778+00;;5a7ec41d-d478-4c4b-8632-d8875081efb5;;;;2026;Hockey;;2026-04-24 12:29:13.888778+00
a345ce80-0b09-4c05-a847-83eb74ff3530;0d0b7f4f-327e-4497-83ff-3aa501ffc295;2026-04-24 12:22:27.527878+00;;35a93853-edf9-4c16-9df3-eb8c25221488;;;;2026;Lacrosse;;2026-04-24 12:22:27.527878+00
06c39d1d-8c4f-4862-a5d3-b0553f49998c;0d0b7f4f-327e-4497-83ff-3aa501ffc295;2026-04-24 13:34:34.296727+00;;95cb4238-020d-4cbc-a98d-11430aa62739;;;;2026;Soccer;;2026-04-24 13:34:34.296727+00
3b886886-314c-496a-bbe0-c2e960b98016;0d0b7f4f-327e-4497-83ff-3aa501ffc295;2026-04-24 12:12:46.25632+00;;fe99f350-6d34-4f55-93cf-5b9822c79e50;;;;2026;Soccer;;2026-04-24 12:12:46.25632+00
4490a4c9-f4a6-4318-a16a-a60d968e45c0;0d0b7f4f-327e-4497-83ff-3aa501ffc295;2026-04-26 20:46:58.401948+00;;7fad761e-a0e5-46d1-85e2-fe8744e3b405;;;;2026;Soccer;;2026-04-26 20:46:58.401948+00
5cb47b4a-1751-408e-ba9b-6d4137d76e06;0d0b7f4f-327e-4497-83ff-3aa501ffc295;2026-04-24 12:17:40.318609+00;;13bc71dc-43ec-40da-9346-667d7f5c76cf;;;;2026;Soccer;;2026-04-24 12:17:40.318609+00
6d2157ff-f378-472b-8870-71f054fb300f;0d0b7f4f-327e-4497-83ff-3aa501ffc295;2026-04-24 13:34:06.286398+00;;847221d2-aca4-421a-9fd2-5be2dbb9f5e0;;;;2026;Soccer;;2026-04-24 13:34:06.286398+00
ccfae637-2c5c-4a6c-8a1b-a623058ce886;0d0b7f4f-327e-4497-83ff-3aa501ffc295;2026-04-26 20:47:26.727361+00;;61fe818f-e149-47aa-8233-719287a7e135;;;;2026;Soccer;;2026-04-26 20:47:26.727361+00
d612bb89-d773-4e26-b4e4-147b01444504;0d0b7f4f-327e-4497-83ff-3aa501ffc295;2026-04-24 13:35:03.513953+00;;a811cc42-7d7a-4144-8bc5-3497d7c8f97e;;;;2026;Soccer;;2026-04-24 13:35:03.513953+00
df15f035-8851-4b88-97b5-83e904b217cf;0d0b7f4f-327e-4497-83ff-3aa501ffc295;2026-04-24 13:28:03.99549+00;;077a3e68-7687-4ef4-8fc7-adba77204a6c;;;;2026;Soccer;;2026-04-24 13:28:03.99549+00
df15f035-8851-4b88-97b5-83e904b217cf;0d0b7f4f-327e-4497-83ff-3aa501ffc295;2026-04-24 13:28:13.572298+00;;450aad76-a868-4b46-bc61-305a81d0de7d;;;;2026;Soccer;;2026-04-24 13:28:13.572298+00
6a92ee0e-a091-4f91-b12e-810595a4711e;0d0b7f4f-327e-4497-83ff-3aa501ffc295;2026-04-24 13:29:43.404653+00;;c2fa9ee5-fc8c-4771-a0e8-6f0c0a6f79c7;;;;2026;Tennis;;2026-04-24 13:29:43.404653+00
6d2157ff-f378-472b-8870-71f054fb300f;0d0b7f4f-327e-4497-83ff-3aa501ffc295;2026-04-24 13:34:18.810499+00;;481e6202-7274-4174-9bf0-66b8e8d6e17b;;;;2026;Tennis;;2026-04-24 13:34:18.810499+00
8a22e9ed-5c58-46e5-91b9-316f1a29c512;0d0b7f4f-327e-4497-83ff-3aa501ffc295;2026-04-24 13:33:08.788154+00;;61d45367-c2cd-4c22-be4a-934dc0b2a131;;;;2026;Tennis;;2026-04-24 13:33:08.788154+00
8d0d2ab3-e2d8-47e8-b299-315c4c736633;0d0b7f4f-327e-4497-83ff-3aa501ffc295;2026-04-24 12:23:43.633723+00;;20159095-2e53-4eaf-8a1f-bbfee3fece35;;;;2026;Tennis;;2026-04-24 12:23:43.633723+00
a08aac54-a16d-4552-a158-6408bb3e40da;0d0b7f4f-327e-4497-83ff-3aa501ffc295;2026-04-24 12:21:30.893802+00;;f1f905dc-6eed-4fc6-a574-acbcad1412b7;;trying out for HS team after camp;;2026;Tennis;;2026-04-24 12:21:30.893802+00
c9ef7ba4-ddca-4949-8112-46d05b07c199;0d0b7f4f-327e-4497-83ff-3aa501ffc295;2026-04-24 12:20:09.063205+00;;7132a687-2d69-43fd-ae1b-6598114807f9;;trying out for HS team after camp;;2026;Tennis;;2026-04-24 12:20:09.063205+00
e11584ba-501b-4873-8172-2d2b0faf43aa;0d0b7f4f-327e-4497-83ff-3aa501ffc295;2026-04-24 13:33:32.335333+00;;f90c3d7e-f91e-4e07-93fc-1d5ad2afe00c;;;;2026;Tennis;;2026-04-24 13:33:32.335333+00
e37b8660-d65b-475e-b079-8f370bd906c6;0d0b7f4f-327e-4497-83ff-3aa501ffc295;2026-04-24 12:26:50.134263+00;;a93ec086-6991-4738-a5f9-6fffae720290;;;;2026;Tennis;;2026-04-24 12:26:50.134263+00
e937be8f-4dfb-478e-a217-8793b3acb557;0d0b7f4f-327e-4497-83ff-3aa501ffc295;2026-04-24 12:28:30.956242+00;;d73214fe-f374-47d3-9431-a2df08bd2f67;;;;2026;Tennis;;2026-04-24 12:28:30.956242+00
