id;event_date;title;description;sport_type;time;location;team;opponent;created_at;created_by;division_id;custom_sport_type;event_type;division_provides_coach;division_provides_ref;home_away;season;meal_options;meal_notes;company_id;depart_time;start_time_field
bf68b4cb-1c8a-4c78-af8d-5f186d6a1d7d;2026-07-22;THC Dance Competition;;Dance;;THC;;;2026-01-14 15:39:46.007296+00;;;;Invitational;false;false;home;2026;"[""Snack""]";;0d0b7f4f-327e-4497-83ff-3aa501ffc295;;13:00
5284cb93-631f-4fbe-8bfb-805c70203f23;2026-07-29;Gordon Cup 🏒;;Hockey;;Timber Dome;11th Grade Boys & Under;;2026-01-30 18:17:11.878264+00;;;;Invitational;true;true;home;2026;"[""Lunch"",""Dinner"",""Snack""]";;1d296ccf-31e1-4176-af57-50a4a4820f82;;
f4d56e8a-7f14-413b-a32d-9be42073b945;2026-07-22;Jacobs Cup 🏀;;Basketball;;Timber Dome;11th Grade Boys & Under;;2026-01-30 18:15:57.381406+00;;;;Invitational;true;true;home;2026;"[""Snack"",""Lunch"",""Dinner""]";;1d296ccf-31e1-4176-af57-50a4a4820f82;;
392730d8-84ed-46b3-beb4-cd30b6f25e2a;2026-07-29;Gordon Cup ;;Hockey;;Timber Lake Camp;;;2026-01-09 11:27:34.829138+00;;;Tournament;Other;false;false;away;2026;"[""Snack""]";;0d0b7f4f-327e-4497-83ff-3aa501ffc295;07:00;
feb446bf-5a34-482e-8ee3-5d0ee9ec2c3e;2026-07-15;Super Bowl 🏈;;Football;;Jungle;11th Grade Girls & 9th Grade Boys ;;2026-01-30 18:10:12.431381+00;;;;Invitational;true;true;home;2026;"[""Lunch"",""Dinner"",""Snack""]";;1d296ccf-31e1-4176-af57-50a4a4820f82;;
cfc5ed57-f7bf-4ccf-b3d1-e54e5814ac15;2026-07-22;Jacobs Cup;;Basketball;;Timber Lake Camp;;;2026-01-14 16:06:16.874043+00;;;;Invitational;false;false;away;2026;"[""Breakfast""]";;0d0b7f4f-327e-4497-83ff-3aa501ffc295;07:00;
4c747b1c-f985-4607-9086-23935638a77f;2026-07-06;Starlight Basketball Tournament;;Basketball;;Starlight ;;;2026-03-04 12:59:39.000668+00;;6a20038f-97cf-4db1-872e-41f07f1ab83d;;Invitational;false;false;away;2026;[];;0d0b7f4f-327e-4497-83ff-3aa501ffc295;09:00;
a4e16043-a73c-4a4f-95b6-baac00d70498;2026-07-14;Lions Cup Hockey;;Hockey;;Lokanda;;;2026-03-05 14:21:23.885539+00;;;;Invitational;false;false;away;2026;[];;0d0b7f4f-327e-4497-83ff-3aa501ffc295;08:30;
631b81d4-9902-4c3c-95cf-deeaf802602d;2026-06-29;9/10 Girls Soccerama;;Soccer;;Bryn Mawr;;;2026-03-05 23:00:42.014542+00;;;;Invitational;false;false;away;2026;"[""Snack"",""Lunch""]";;0d0b7f4f-327e-4497-83ff-3aa501ffc295;09:20;
f980e589-8c67-4a29-8d3d-370b44b3dc84;2026-07-03;3 Girls Soccerama;;Soccer;;Bryn Mawr;;;2026-03-05 23:01:34.3159+00;;dca91f1e-08cf-4a23-b1cb-50f2ace6b9bc;;Invitational;false;false;away;2026;"[""Snack"",""Lunch""]";;0d0b7f4f-327e-4497-83ff-3aa501ffc295;09:20;
294d980b-5c3c-428f-b9a7-71ea2d87b20a;2026-07-10;6 Girls Soccerama;;Soccer;;Bryn Mawr;;;2026-03-05 23:02:32.773382+00;;ae359cd5-a11d-4144-ae44-40fbff653c52;;Invitational;false;false;away;2026;"[""Snack"",""Lunch""]";;0d0b7f4f-327e-4497-83ff-3aa501ffc295;09:20;
7d33b5f3-40b4-47c5-b09e-c9f92d2bd0d8;2026-07-17;5 Girls Soccerama;;Soccer;;Bryn Mawr;;;2026-03-05 23:04:07.88061+00;;17c50ef4-8fe1-49a3-aa6c-a91dec80756e;;Invitational;false;false;away;2026;"[""Lunch""]";;0d0b7f4f-327e-4497-83ff-3aa501ffc295;09:20;
bd4e16c3-b5a6-4047-8e75-e2c364512840;2026-07-24;3 Boys Football;2 Teams;Football;;Trains End;;;2026-03-05 23:11:13.069293+00;;604b9c2b-ab97-420e-9ae6-2986c2bc71ec;;Invitational;true;false;away;2026;"[""Snack""]";;0d0b7f4f-327e-4497-83ff-3aa501ffc295;09:20;
57183ad8-efcf-4b5b-b638-78565d6042f7;2026-07-26;5 Girls Football;2 Teams;Football;;Trails End;;;2026-03-05 23:12:42.2786+00;;17c50ef4-8fe1-49a3-aa6c-a91dec80756e;;Invitational;true;false;away;2026;"[""Snack""]";;0d0b7f4f-327e-4497-83ff-3aa501ffc295;11:45;
d24c73bb-23fa-48fd-9931-aae35854487f;2026-07-26;9 Boys Football;2 Teams;Football;;Trails End;;;2026-03-05 23:14:06.808908+00;;8e390752-36fe-42b6-8e0d-d4eaba221eeb;;Invitational;true;false;away;2026;[];;0d0b7f4f-327e-4497-83ff-3aa501ffc295;16:15;
a4d32d43-c9fa-49a8-8fa4-3b3b7c7c400e;2026-07-31;7 Boys Football;2 Teams;Football;;Trails End;;;2026-03-05 23:15:02.435306+00;;25e2d1f0-7127-430b-be82-677cf13ec839;;Invitational;true;false;away;2026;[];;0d0b7f4f-327e-4497-83ff-3aa501ffc295;09:20;
